Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2021],Popula&ccedil;&atilde;o estimada - pessoas [2021],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2019],
Afonso Cl&aacute;udio,3200102,afonso-claudense,LUCIANO RONCETTI PIMENTA,941.188,30326,32.68,94,0.667,2.53,80576.7727,69965.87355,14487.20,;;;;;;;;;;;;;;;;;;;;;;
&Aacute;guia Branca,3200136,aguiabranquense,JAILSON JOSE QUIUQUI,454.448,9621,20.95,97.8,0.678,15.5,39083.22718,29097.85302,17162.69,;;;;;;;;;;;;;;;;;;;;;;
&Aacute;gua Doce do Norte,3200169,&aacute;gua-docense,ABRA&Atilde;O LINCON ELIZEU,473.729,10801,24.85,98.7,0.652,5.46,34702.54102,36255.10902,12553.23,;;;;;;;;;;;;;;;;;;;;
Alegre,3200201,alegrense,NEMROD EMERICK,756.860,29869,39.85,97.6,0.721,16,83442.06711,76070.96317,15854.35,;;;;;;;;;;;;;;;;;;;;;;;
Alfredo Chaves,3200300,alfredense,FERNANDO VIDEIRA LAFAYETTE,615.677,14670,22.66,98.6,0.710,-,48604.90169,44738.57504,24625.87,;;;;;;;;;;;;;;;;;;;;;;;
Alto Rio Novo,3200359,alto-rio-novense,LUIZ AM&Eacute;RICO BOREL,227.617,7911,32.14,97.3,0.664,-,26258.90205,21926.6124,11168.13,;;;;;;;;;;;;;;;;;;;;;;
Anchieta,3200409,anchietense,FABR&Iacute;CIO PETRI,409.691,30285,58.41,99.1,0.730,4.78,297133.39651,217215.62936,34359.12,;;;;;;;;;;;;;;;;;;;;;;
Apiac&aacute;,3200508,apiacaense,FABR&Iacute;CIO GOMES THEBALDI,193.984,7542,38.72,96.9,0.673,40.54,24049.97923,22633.13349,13116.61,;;;;;;;;;;;;;;;;;;;;;
Aracruz,3200607,aracruzense,LUIZ CARLOS COUTINHO,1420.285,104942,57.47,98.4,0.752,8.26,425272.21903,371809.20977,53513.72,;;;;;;;;;;;;;;;;;;;;;;;
At&iacute;lio Viv&aacute;cqua,3200706,atilio-vivacquense,JOSEMAR MACHADO FERNANDES,232.868,12270,44.08,97.6,0.708,19.74,37510.54777,31766.08089,22441.66,;;;;;;;;;;;;;;;;;;;;;
Baixo Guandu,3200805,guanduense,LASTENIO LUIZ CARDOSO,909.039,31263,31.71,97.2,0.702,2.56,83754.81807,72768.3765,21340.63,;;;;;;;;;;;;;;;;;;;;;;;
Barra de S&atilde;o Francisco,3200904,franciscano,ENIVALDO EUZEBIO DOS ANJOS,944.521,45301,43.16,96.2,0.683,4.71,113435.63353,97508.08958,18296.73,;;;;;;;;;;;;;;;;;;;;;;
Boa Esperan&ccedil;a,3201001,esperancense,LAURO VIEIRA DA SILVA,428.716,15146,33.14,97.5,0.679,9.39,48400.69793,43652.05383,15301.17,;;;;;;;;;;;;;;;;;;;;;;
Bom Jesus do Norte,3201100,bom-jesuense,ANTONIO GUALHANO AZEVEDO,89.084,9988,106.37,98.8,0.734,-,28812.99073,24019.30038,17799.83,;;;;;;;;;;;;;;;;;;;;;;;
